Comparison,OccNet chamfer-L1,OccNet chamfer-L2,OccNet normal consistency,OccNet f-scores,DeepSDF chamfer,VIoU,Dice
62,0.0042,0.0002,0.9663,0.9926,0.0004,0.9589,0.9790
63,0.0039,0.0000,0.9682,0.9944,0.0001,0.9515,0.9751
64,0.0041,0.0002,0.9682,0.9957,0.0003,0.9532,0.9760
65,0.0037,0.0000,0.9687,0.9975,0.0000,0.9587,0.9789
66,0.0048,0.0004,0.9692,0.9869,0.0008,0.9586,0.9788
67,0.0034,0.0000,0.9705,0.9998,0.0000,0.9594,0.9793
68,0.0036,0.0000,0.9715,0.9993,0.0000,0.9596,0.9794
69,0.0042,0.0000,0.9662,0.9908,0.0001,0.9578,0.9785
70,0.0036,0.0000,0.9691,0.9945,0.0001,0.9511,0.9749
71,0.0044,0.0001,0.9691,0.9897,0.0001,0.9586,0.9788
72,0.0035,0.0000,0.9653,0.9941,0.0000,0.9464,0.9725
73,0.0053,0.0005,0.9695,0.9924,0.0011,0.9544,0.9767
74,0.0035,0.0000,0.9706,0.9986,0.0000,0.9567,0.9778
75,0.0040,0.0000,0.9691,0.9881,0.0001,0.9631,0.9812
76,0.0033,0.0000,0.9686,0.9979,0.0000,0.9535,0.9762
77,0.0035,0.0000,0.9703,0.9995,0.0000,0.9545,0.9767
78,0.0047,0.0003,0.9658,0.9882,0.0005,0.9486,0.9736
79,0.0037,0.0000,0.9674,0.9969,0.0001,0.9485,0.9735
80,0.0036,0.0000,0.9694,0.9947,0.0000,0.9556,0.9773
81,0.0032,0.0000,0.9726,0.9988,0.0000,0.9564,0.9777
82,0.0043,0.0002,0.9626,0.9915,0.0004,0.9598,0.9795
83,0.0041,0.0001,0.9695,0.9974,0.0001,0.9653,0.9823
84,0.0043,0.0002,0.9627,0.9966,0.0005,0.9455,0.9720
85,0.0036,0.0000,0.9714,0.9974,0.0000,0.9573,0.9782
86,0.0041,0.0000,0.9689,0.9954,0.0001,0.9539,0.9764
87,0.0039,0.0001,0.9676,0.9950,0.0002,0.9668,0.9831
88,0.0035,0.0000,0.9703,0.9972,0.0000,0.9625,0.9809
89,0.0042,0.0002,0.9682,0.9928,0.0005,0.9612,0.9802
