Comparison,OccNet chamfer-L1,OccNet chamfer-L2,OccNet normal consistency,OccNet f-scores,DeepSDF chamfer,VIoU,Dice
45,0.0036,0.0000,0.9726,0.9929,0.0000,0.9570,0.9780
46,0.0036,0.0000,0.9699,0.9892,0.0000,0.9421,0.9702
47,0.0040,0.0000,0.9622,0.9728,0.0001,0.9491,0.9739
48,0.0044,0.0001,0.9631,0.9720,0.0001,0.9539,0.9764
49,0.0037,0.0000,0.9730,0.9841,0.0000,0.9543,0.9766
50,0.0044,0.0000,0.9671,0.9766,0.0001,0.9511,0.9750
51,0.0037,0.0000,0.9731,0.9852,0.0000,0.9586,0.9789
52,0.0044,0.0001,0.9630,0.9649,0.0001,0.9529,0.9759
53,0.0038,0.0000,0.9678,0.9796,0.0000,0.9451,0.9718
54,0.0043,0.0000,0.9634,0.9644,0.0001,0.9525,0.9757
55,0.0044,0.0000,0.9642,0.9667,0.0001,0.9509,0.9748
56,0.0048,0.0001,0.9610,0.9561,0.0001,0.9494,0.9740
57,0.0045,0.0000,0.9625,0.9508,0.0001,0.9554,0.9772
58,0.0040,0.0000,0.9693,0.9807,0.0001,0.9599,0.9795
59,0.0042,0.0000,0.9680,0.9731,0.0001,0.9495,0.9741
60,0.0035,0.0000,0.9698,0.9832,0.0000,0.9638,0.9816
61,0.0045,0.0000,0.9682,0.9597,0.0001,0.9494,0.9740
62,0.0044,0.0000,0.9621,0.9601,0.0001,0.9528,0.9758
63,0.0044,0.0000,0.9556,0.9629,0.0001,0.9440,0.9712
64,0.0044,0.0000,0.9582,0.9628,0.0001,0.9462,0.9723
65,0.0046,0.0000,0.9623,0.9627,0.0001,0.9471,0.9728
66,0.0042,0.0000,0.9722,0.9785,0.0001,0.9511,0.9749
67,0.0036,0.0000,0.9750,0.9908,0.0000,0.9552,0.9771
68,0.0042,0.0000,0.9681,0.9668,0.0001,0.9544,0.9766
69,0.0043,0.0000,0.9664,0.9720,0.0001,0.9533,0.9761
70,0.0037,0.0000,0.9704,0.9807,0.0000,0.9468,0.9726
71,0.0045,0.0000,0.9661,0.9600,0.0001,0.9564,0.9777
72,0.0040,0.0000,0.9536,0.9600,0.0001,0.9385,0.9683
73,0.0046,0.0000,0.9678,0.9598,0.0001,0.9508,0.9748
74,0.0043,0.0000,0.9683,0.9775,0.0001,0.9430,0.9706
75,0.0040,0.0000,0.9695,0.9691,0.0001,0.9587,0.9789
76,0.0042,0.0000,0.9640,0.9666,0.0001,0.9424,0.9703
77,0.0041,0.0001,0.9681,0.9739,0.0001,0.9537,0.9763
78,0.0038,0.0000,0.9653,0.9828,0.0000,0.9500,0.9744
79,0.0038,0.0000,0.9590,0.9709,0.0001,0.9515,0.9751
80,0.0050,0.0001,0.9533,0.9382,0.0001,0.9339,0.9658
